Kathmandu;NP;85.316666;27.716667;291.150000;291.150000;291.150000;proximity moderate rain
Merida;VE;-71.144997;8.598333;283.584000;283.584000;283.584000;light rain
Lhasa;CN;91.099998;29.650000;274.484000;274.484000;274.484000;broken clouds
İstanbul;TR;28.983311;41.035080;277.630000;277.150000;278.150000;light rain
Mao;DO;-71.078133;19.551861;294.840000;294.150000;295.150000;broken clouds
Nalchik;RU;43.618889;43.498058;278.150000;278.150000;278.150000;mist
Lisbon;PT;-9.133330;38.716671;285.540000;284.150000;287.150000;few clouds
Walbrzych;PL;16.284321;50.771412;280.150000;280.150000;280.150000;Sky is Clear
Naklo nad Notecia;PL;17.601810;53.142139;281.150000;281.150000;281.150000;Sky is Clear
Zhengzhou;CN;113.648613;34.757778;285.150000;285.150000;285.150000;Sky is Clear
Bankra;IN;88.298058;22.627501;303.150000;303.150000;303.150000;haze
Whyalla;AU;137.583328;-33.033329;297.150000;297.150000;297.150000;Sky is Clear
Gustavia;BL;-62.849781;17.896179;298.150000;298.150000;298.150000;few clouds
Xianju;CN;120.733330;28.850000;283.284000;283.284000;283.284000;Sky is Clear
Tōkyō-to;JP;139.691711;35.689499;281.420000;279.150000;283.150000;light intensity shower rain
Washington;US;-120.501472;47.500118;277.400000;275.150000;279.150000;light rain
San Dimas;US;-117.806732;34.106682;285.960000;282.150000;289.150000;mist
Bandar Emām Khomeynī;IR;49.076279;30.429831;298.150000;298.150000;298.150000;Sky is Clear
Bo;SL;-11.738330;7.964720;299.434000;299.434000;299.434000;broken clouds
San Pedro;AR;-54.108421;-26.622070;288.234000;288.234000;288.234000;Sky is Clear
Telmankend;AZ;48.399021;39.878670;285.134000;285.134000;285.134000;overcast clouds
Neftcala;AZ;49.247219;39.374168;283.884000;283.884000;283.884000;overcast clouds
Pushkino;AZ;48.544998;39.458328;285.134000;285.134000;285.134000;overcast clouds
Titao;BF;-2.066670;13.766670;304.584000;304.584000;304.584000;Sky is Clear
Villazon;BO;-65.594223;-22.086590;275.484000;275.484000;275.484000;scattered clouds
Yangambi;CD;24.433590;0.810210;305.134000;305.134000;305.134000;Sky is Clear
Watsa;CD;29.535509;3.037160;309.734000;309.734000;309.734000;Sky is Clear
Wamba;CD;27.994659;2.148380;308.034000;308.034000;308.034000;Sky is Clear
Lusambo;CD;23.450001;-4.966670;299.634000;299.634000;299.634000;few clouds
Luebo;CD;21.416670;-5.350000;294.534000;294.534000;294.534000;heavy intensity rain
Lubao;CD;25.750000;-5.366670;301.584000;301.584000;301.584000;light rain
Kampene;CD;26.666670;-3.600000;302.934000;302.934000;302.934000;scattered clouds
Kabinda;CD;24.483330;-6.133330;299.234000;299.234000;299.234000;Sky is Clear
Kabare;CD;28.824169;-2.468330;296.884000;296.884000;296.884000;Sky is Clear
Businga;CD;20.883329;3.333330;309.114000;309.114000;309.114000;few clouds
Nioki;CD;17.683331;-2.716670;301.314000;301.314000;301.314000;moderate rain
Mushie;CD;16.900000;-3.016670;301.864000;301.864000;301.864000;moderate rain
Mangai;CD;19.533331;-4.050000;295.214000;295.214000;295.214000;moderate rain
Touba;CI;-7.683330;8.283330;304.064000;304.064000;304.064000;sky is clear
Tonga;CM;10.700000;4.966670;300.664000;300.664000;300.664000;few clouds
